date,name,clean_price,ytm_pct,source
2026-09-08,TURKEY USD 6.00% 2029 (illustrative),100.00,,illustrative (inception, priced at par)
2026-09-08,TURKEY USD 6.65% 2034 (illustrative),100.00,,illustrative (inception, priced at par)
2026-09-08,TURKEY USD 7.04% 2036 (illustrative),100.00,,illustrative (inception, priced at par)
2026-09-09,TURKEY USD 6.00% 2029 (illustrative),100.05,,illustrative
2026-09-09,TURKEY USD 6.65% 2034 (illustrative),100.12,,illustrative
2026-09-09,TURKEY USD 7.04% 2036 (illustrative),100.20,,illustrative
2026-09-10,TURKEY USD 6.00% 2029 (illustrative),99.95,,illustrative
2026-09-10,TURKEY USD 6.65% 2034 (illustrative),99.80,,illustrative
2026-09-10,TURKEY USD 7.04% 2036 (illustrative),99.70,,illustrative
2026-09-11,TURKEY USD 6.00% 2029 (illustrative),99.98,,illustrative
2026-09-11,TURKEY USD 6.65% 2034 (illustrative),99.90,,illustrative
2026-09-11,TURKEY USD 7.04% 2036 (illustrative),99.85,,illustrative
2026-09-14,TURKEY USD 6.00% 2029 (illustrative),100.10,,illustrative
2026-09-14,TURKEY USD 6.65% 2034 (illustrative),100.25,,illustrative
2026-09-14,TURKEY USD 7.04% 2036 (illustrative),100.40,,illustrative
2026-09-15,TURKEY USD 6.00% 2029 (illustrative),100.08,,illustrative
2026-09-15,TURKEY USD 6.65% 2034 (illustrative),100.18,,illustrative
2026-09-15,TURKEY USD 7.04% 2036 (illustrative),100.30,,illustrative
